dataset_name,dataset_number,ner_tagging,number_of_ner_tags
showbie_en.json,1,"{'LOC': ['Eldridge Hollow', 'Vermont', 'Eldridge', 'The'], 'PER': ['Anton Blake', 'Anton'], 'ORG': ['Whithered Page']}",7
showbie_en.json,2,"{'LOC': ['Ha', '##rmonville', 'Prism Arena', 'El', 'Harmonville'], 'PER': ['El', '##ara V', '##ara'], 'MISC': ['##ara Vos', 'Journey through Sound', 'The', 'Unity Games']}",12
showbie_en.json,3,"{'PER': ['Oliver Gray', 'Oliver'], 'LOC': ['Grand Marceau Hall']}",3
showbie_en.json,4,"{'LOC': ['Aldenbridge', 'Great Morrison River', 'Aldenbridge Symphony Hall'], 'PER': ['El', '##ara Windermere', '##ara'], 'ORG': ['El', 'Al']}",8
showbie_en.json,5,"{'MISC': ['Concert Under the Stars'], 'PER': ['Ad', '##rien Lorne', 'Adrien', '##rien', 'Clara'], 'LOC': ['Aurora Amphitheater']}",7
showbie_en.json,6,"{'PER': ['Fiona Lumis', 'Fiona'], 'LOC': ['Lu', '##ous Hall']}",4
showbie_en.json,7,"{'LOC': ['Empty Hall', 'Midtown', 'Grand Meridian Concert Hall', 'Grand'], 'PER': ['Melanie Sinclair', 'Melanie', 'Angel'], 'ORG': ['Meridian']}",8
showbie_en.json,8,"{'LOC': ['Verenthia', 'V', '##erenthia', 'The', 'Ce', '##tial Dome'], 'PER': ['Elara', 'El'], 'ORG': ['##les']}",9
showbie_en.json,9,"{'ORG': ['L', '##yric'], 'LOC': ['Theater'], 'PER': ['Nathaniel Archet', 'Nathaniel']}",5
showbie_en.json,10,"{'MISC': ['Symphony of Silence', 'The'], 'LOC': ['Argenport', 'Concordia Hall'], 'PER': ['Elias Hartman', 'Elias']}",6
sad_scandal_en.json,1,"{'LOC': ['Eldridge Hollow', 'Hollow'], 'PER': ['Clara Whitmore', 'Clara', 'Robert Whitmore', 'Robert', 'Ethan'], 'MISC': ['Victorian']}",8
sad_scandal_en.json,2,"{'MISC': ['Shadows', 'Victorian'], 'LOC': ['Summer Creek', 'Maple Drive'], 'PER': ['Amelia Rhodes', 'Daniel', 'Lily', 'Amelia'], 'ORG': ['Summer']}",9
sad_scandal_en.json,3,"{'MISC': ['Shadows of Amber Hollow', 'Clay'], 'LOC': ['Amber Hollow', 'W', '##pers of', 'Main Street'], 'PER': ['Eleanor Blackwood', 'Eleanor', 'Aiden', 'James', 'Amber']}",11
sad_scandal_en.json,4,"{'MISC': ['##pering Shadows', 'Victorian'], 'LOC': ['Elm Street', 'Willow Creek'], 'PER': ['Eleanor Blackwood', 'Lily', 'Eleanor', 'Thomas', 'Black'], 'ORG': ['Blackwoods', '##wood']}",11
sad_scandal_en.json,5,"{'LOC': ['##ry', 'Eldermere', 'Maple Lane'], 'PER': ['Eleanor Hayes', 'Hayes', 'Mark Hayes', 'Eleanor', 'Lily', 'Mark', 'Price']}",10
sad_scandal_en.json,6,"{'MISC': ['Town'], 'LOC': ['Ashwick', 'Ash'], 'PER': ['Eleanor Whitmore', 'Eleanor', 'Charles', 'Lily', 'Whitmore', 'Whit']}",9
sad_scandal_en.json,7,"{'MISC': ['Shadows of W', '##pering'], 'LOC': ['Pines', 'Whis', '##per', '##ing Pines', '##pering Pines', 'Whispering Pines', 'W'], 'PER': ['Margaret Fletcher', 'Margaret', 'Lily']}",12
sad_scandal_en.json,8,"{'MISC': ['Shadows'], 'LOC': ['Rose Garden', 'Everwood'], 'PER': ['Helen Marlow', 'Andrew', 'Helen', 'David Marlowe', 'David']}",8
sad_scandal_en.json,9,"{'LOC': ['Crimson Ridge', 'Hawthorne'], 'PER': ['Margaret Hawthorne', 'Jonathan', 'Lily', 'Margaret']}",6
sad_scandal_en.json,10,"{'MISC': ['##ence', 'Victorian'], 'LOC': ['Maplewood'], 'PER': ['Sarah Holloway', 'Tom', 'Lily', 'Sarah'], 'ORG': ['PTA']}",8
politic_en.json,1,"{'MISC': ['##en Throne'], 'LOC': ['Eldoria'], 'PER': ['Lucian Alistair', 'Lucian', 'William Hartman', 'Amelia Reed', 'Amelia'], 'ORG': ['El']}",8
politic_en.json,2,"{'MISC': ['S', '##tered Illusion'], 'LOC': ['Eldoria'], 'PER': ['Alexander Veridan', 'Alexander', 'Sarah Young', 'Max Turner'], 'ORG': ['El']}",8
politic_en.json,3,"{'LOC': ['Althea'], 'PER': ['Elias Mercer', 'Elias', 'Clara Weaver', 'Clara']}",5
politic_en.json,4,"{'MISC': ['Shadows', 'Citadel Once'], 'LOC': ['Verenthia', 'Vere', '##hia'], 'PER': ['El', '##andra Solama'], 'ORG': ['Verenthian Institute of Politics', '##nt', 'Am', 'Disc', 'El', 'V']}",13
politic_en.json,5,"{'MISC': ['Fall'], 'LOC': ['Lumina Heights'], 'PER': ['Nathaniel Cole', 'Nathaniel', 'Cassandra', 'Levy']}",6
politic_en.json,6,"{'LOC': ['Serenthia'], 'PER': ['El', '##ara Morton', '##ara'], 'ORG': ['El', 'Ser']}",6
politic_en.json,7,"{'LOC': ['Shadows', 'Cavendale'], 'MISC': ['of the Citadel', 'of a Beacon'], 'PER': ['Al', '##ari', '##c Thorn', 'Thorn', 'Alari', 'El', '##ara Wainwright', 'Morgan'], 'ORG': ['El']}",13
politic_en.json,8,"{'MISC': ['##es of Valor', 'He'], 'LOC': ['Eldoria', 'Solara'], 'PER': ['Alari', 'He', 'El', 'Al'], 'ORG': ['Royal Treasury', 'El']}",10
politic_en.json,9,"{'MISC': ['Gilded Maze', 'Harvest Festival'], 'LOC': ['Arcadia', 'The', ""Grayson ' s Tower""], 'PER': ['Richard Grayson', 'Richard', 'Grayson']}",8
politic_en.json,10,"{'MISC': ['Shadows Over Sovereignty'], 'ORG': ['A', '##lon'], 'PER': ['Evander Hartsfield', 'Hartsfield', 'Hart', 'Alan', '##a Fisk']}",8
pol_en.json,1,"{'MISC': ['Winds of Change', 'Tide', 'Great Election Gala'], 'LOC': ['Avoria', 'Valeront', 'A', '##vor'], 'ORG': ['Progressive Alliance', 'PA', 'Traditional Unity Party', 'TUP', 'Green Horizon Movement', 'GHM', 'Green', 'Horizon Movement', 'Lila', 'Amar'], 'PER': ['Amar', '##a Voss', 'Sebastian Locke', 'Sebastian']}",21
pol_en.json,2,"{'MISC': ['Battle for', 'New Dawn', 'Harvard', 'Trail'], 'LOC': ['Clarendon Heights', 'Glen', 'Lake', 'Clare', 'Heights'], 'ORG': ['Progressive Alliance', 'Unity Front', 'Green Vision'], 'PER': ['Sarah Griffin', 'Harold Monroe', 'Emily Zhao', 'Sarah', 'Griffin', 'Harold', 'Monroe']}",19
pol_en.json,3,"{'MISC': ['Winds of Change'], 'LOC': ['E', '##ll'], 'ORG': ['Unity Party', 'UP', 'Progressive Alliance', 'PA', 'E', ""People ' s Reform Movement"", 'PRM', 'Unity'], 'PER': ['Edmund Cast', 'Lydia Aran', 'Lydia', 'E', 'Nathan Caldwell', 'Edmund']}",17
pol_en.json,4,"{'MISC': ['Race for Solaria', 'Dawn of Solarian Politics', '##s', '##ian', 'Wave'], 'LOC': ['Solaria'], 'ORG': ['Solaria Reform', 'Unity Party', 'UP', 'Solar', 'Progress Alliance', 'PA', 'Liberty Front', 'LF', 'Green', 'G', 'Lily', 'Wang', 'Elena'], 'PER': ['Elena Marshall', 'Amir Khan', 'Simon Grayson']}",22
pol_en.json,5,"{'MISC': ['Winds of Change'], 'LOC': ['Elaria', '##aria'], 'ORG': ['Elaria', 'Progress Party', 'Unity Front', 'Green Future Alliance', 'El', 'Sofia'], 'PER': ['Adrian Novak', 'Adrian', 'Sofia Castell', 'Sofia', 'Elena Torres', 'Elena']}",15
pol_en.json,6,"{'MISC': ['Battle for', '##ant', 'Call to Arms'], 'LOC': ['Verd', 'Valley', '##ant Valley', 'Verdant Valley', '##erd'], 'ORG': ['Progressive Green Party', 'V', '##ant Conservative Union', 'United Labor Front', 'New Wave Alliance'], 'PER': ['Mia Harper', 'Mia', 'Thomas B', '##kley', 'Thomas', 'Evelyn T', 'Evelyn', 'Carlos Mendoza', 'Carlos', 'Ra', 'Harper']}",24
pol_en.json,7,"{'MISC': ['Tides of Destiny', '##hian', 'Ara'], 'LOC': ['Arant', '##hia', 'Aranthia'], 'ORG': ['National Assembly', 'Arant', 'Progressive Alliance for Unity', 'PAU', 'Conservative Heritage Front', 'CHF', '##nt', ""People ' s Renaissance Movement"", 'PRM'], 'PER': ['Elena Marsh', 'Elena', 'Hugo Stalworth', 'Hugo', 'Z', '##ara Donovan', 'Marsh']}",22
pol_en.json,8,"{'MISC': ['##pers of', 'Storm', 'Traditional'], 'LOC': ['Willow Creek', 'Midlands'], 'ORG': ['Traditionalists', 'New Horizons Party', 'Green Springs Initiative', 'Future', 'Movement'], 'PER': ['Eleanor Pembroke', 'Eleanor', 'Aaron Talbot', 'Aaron', 'Cassandra Voss', 'Cassandra', 'Reginald', 'Reggie', 'Nathaniel', 'Boone']}",20
pol_en.json,9,"{'MISC': ['Winds of Change', 'Gathering Storm'], 'LOC': ['Eldoria', 'El', '##ia'], 'ORG': ['Eldrian', 'Senate', 'Pro', '##sperity Party', 'Unity Front', 'Green Horizon', 'Prosperity Party', '##dor'], 'PER': ['Victor Gant', 'Victor', 'Sophia Martell', 'Sophia', 'Lin', '##a Verde']}",19
pol_en.json,10,"{'MISC': ['Tapestry of Voices'], 'LOC': ['Almaris', 'Sa', '##pphire Mountains', 'A', '##zure Sea'], 'ORG': ['Radiant Coalition', 'Verdant League', 'Alma', 'Sofia', 'Roots'], 'PER': ['Thomas Arkwright', 'Thomas', 'Sofia Marlowe']}",14
nature_en.json,1,"{'MISC': ['Storm'], 'LOC': ['Elmsworth', 'Elm'], 'PER': ['Owen Reed', 'Owen']}",5
nature_en.json,2,"{'LOC': ['Elderton'], 'PER': ['Elijah Thompson', 'Elijah']}",3
nature_en.json,3,"{'LOC': ['Eldermere'], 'PER': ['Al', '##den Wright', 'Elder'], 'MISC': ['Z']}",5
nature_en.json,4,"{'LOC': ['Eldergrove', '##grove'], 'PER': ['Clara', 'Celeste', 'Elder'], 'ORG': ['Elder', 'Eldergrove']}",7
nature_en.json,5,"{'MISC': ['Wind'], 'LOC': ['Eldergrove', 'Maple Street'], 'PER': ['Clara Hensley', 'Clara', 'Mayor Winslow', 'Tom']}",7
nature_en.json,6,"{'LOC': ['Riverton', 'Main Street'], 'PER': ['Evelyn Starling', 'Mike', 'Evelyn']}",5
nature_en.json,7,"{'LOC': ['Seaward Bay', 'Penny Lane'], 'PER': ['El', '##ara Dunn', '##ara', 'Lay'], 'ORG': ['El']}",7
nature_en.json,8,"{'MISC': ['Storm', 'of Des'], 'PER': ['Emily Santiago', 'Emily', 'Oliver', 'O'], 'LOC': ['Ma', '##vericks Landing', 'Eye', '##truction']}",10
nature_en.json,9,"{'MISC': ['Re', '##oar of the Storm', 'Shadows'], 'LOC': ['Colorado', 'Evergreen'], 'PER': ['Emma Caldwell', 'Emma'], 'ORG': ['Cross']}",8
nature_en.json,10,"{'LOC': ['Elmsford', 'Blue Ridge Mountains'], 'PER': ['Jonathan Weaver', 'Jonathan']}",4
