dataset_name,prompt_number,generation_number,grouped_ner
sad_scandal_en.json,3,4,"{'MISC': [['##pering Shadows'], ['Victorian']], 'LOC': [['Elm Street'], ['Willow Creek']], 'PER': [['Eleanor Blackwood', 'Eleanor'], ['Lily'], ['Thomas'], ['Black']], 'ORG': [['Blackwoods'], ['##wood']]}"
sad_scandal_en.json,3,5,"{'LOC': [['##ry'], ['Eldermere'], ['Maple Lane']], 'PER': [['Eleanor Hayes', 'Hayes', 'Eleanor'], ['Mark Hayes'], ['Lily'], ['Mark'], ['Price']]}"
sad_scandal_en.json,3,6,"{'MISC': [['Town']], 'LOC': [['Ashwick', 'Ash']], 'PER': [['Eleanor Whitmore', 'Eleanor', 'Whitmore'], ['Charles'], ['Lily'], ['Whit']]}"
sad_scandal_en.json,3,7,"{'MISC': [['Shadows of W'], ['##pering']], 'LOC': [['Pines', '##ing Pines', '##pering Pines', 'Whispering Pines'], ['Whis', 'W'], ['##per']], 'PER': [['Margaret Fletcher'], ['Margaret'], ['Lily']]}"
sad_scandal_en.json,3,8,"{'MISC': [['Shadows']], 'LOC': [['Rose Garden'], ['Everwood']], 'PER': [['Helen Marlow', 'David Marlowe'], ['Andrew'], ['Helen'], ['David']]}"
sad_scandal_en.json,3,9,"{'LOC': [['Crimson Ridge'], ['Hawthorne']], 'PER': [['Margaret Hawthorne', 'Margaret'], ['Jonathan'], ['Lily']]}"
sad_scandal_en.json,3,10,"{'MISC': [['##ence'], ['Victorian']], 'LOC': [['Maplewood']], 'PER': [['Sarah Holloway'], ['Tom'], ['Lily'], ['Sarah']], 'ORG': [['PTA']]}"
politic_en.json,4,1,"{'MISC': [['##en Throne']], 'LOC': [['Eldoria']], 'PER': [['Lucian Alistair', 'Lucian'], ['William Hartman'], ['Amelia Reed', 'Amelia']], 'ORG': [['El']]}"
politic_en.json,4,2,"{'MISC': [['S'], ['##tered Illusion']], 'LOC': [['Eldoria']], 'PER': [['Alexander Veridan'], ['Alexander'], ['Sarah Young'], ['Max Turner']], 'ORG': [['El']]}"
politic_en.json,4,3,"{'LOC': [['Althea']], 'PER': [['Elias Mercer'], ['Elias'], ['Clara Weaver'], ['Clara']]}"
politic_en.json,4,4,"{'MISC': [['Shadows'], ['Citadel Once']], 'LOC': [['Verenthia', 'Vere'], ['##hia']], 'PER': [['El'], ['##andra Solama']], 'ORG': [['Verenthian Institute of Politics'], ['##nt'], ['Am'], ['Disc'], ['El', 'V']]}"
politic_en.json,4,5,"{'MISC': [['Fall']], 'LOC': [['Lumina Heights']], 'PER': [['Nathaniel Cole'], ['Nathaniel'], ['Cassandra'], ['Levy']]}"
politic_en.json,4,6,"{'LOC': [['Serenthia']], 'PER': [['El'], ['##ara Morton'], ['##ara']], 'ORG': [['El', 'Ser']]}"
politic_en.json,4,7,"{'LOC': [['Shadows'], ['Cavendale']], 'MISC': [['of the Citadel'], ['of a Beacon']], 'PER': [['Al', 'Alari', 'El'], ['##ari'], ['##c Thorn', 'Thorn'], ['##ara Wainwright'], ['Morgan']], 'ORG': [['El']]}"
politic_en.json,4,8,"{'MISC': [['##es of Valor'], ['He']], 'LOC': [['Eldoria'], ['Solara']], 'PER': [['Alari', 'El', 'Al'], ['He']], 'ORG': [['Royal Treasury'], ['El']]}"
politic_en.json,4,9,"{'MISC': [['Gilded Maze'], ['Harvest Festival']], 'LOC': [['Arcadia'], ['The'], [""Grayson ' s Tower""]], 'PER': [['Richard Grayson', 'Grayson'], ['Richard']]}"
politic_en.json,4,10,"{'MISC': [['Shadows Over Sovereignty']], 'ORG': [['A'], ['##lon']], 'PER': [['Evander Hartsfield', 'Hartsfield', 'Hart'], ['Alan'], ['##a Fisk']]}"
pol_en.json,5,1,"{'MISC': [['Winds of Change'], ['Tide'], ['Great Election Gala']], 'LOC': [['Avoria'], ['Valeront', 'A'], ['##vor']], 'ORG': [['Progressive Alliance'], ['PA'], ['Traditional Unity Party'], ['TUP'], ['Green Horizon Movement', 'Horizon Movement'], ['GHM'], ['Green'], ['Lila'], ['Amar']], 'PER': [['Amar'], ['##a Voss'], ['Sebastian Locke', 'Sebastian']]}"
pol_en.json,5,2,"{'MISC': [['Battle for'], ['New Dawn'], ['Harvard'], ['Trail']], 'LOC': [['Clarendon Heights'], ['Glen'], ['Lake'], ['Clare'], ['Heights']], 'ORG': [['Progressive Alliance'], ['Unity Front'], ['Green Vision']], 'PER': [['Sarah Griffin', 'Griffin'], ['Harold Monroe', 'Monroe'], ['Emily Zhao'], ['Sarah'], ['Harold']]}"
pol_en.json,5,3,"{'MISC': [['Winds of Change']], 'LOC': [['E'], ['##ll']], 'ORG': [['Unity Party'], ['UP'], ['Progressive Alliance'], ['PA'], ['E'], [""People ' s Reform Movement""], ['PRM'], ['Unity']], 'PER': [['Edmund Cast', 'Edmund'], ['Lydia Aran', 'Lydia'], ['E'], ['Nathan Caldwell']]}"
pol_en.json,5,4,"{'MISC': [['Race for Solaria'], ['Dawn of Solarian Politics'], ['##s', '##ian'], ['Wave']], 'LOC': [['Solaria']], 'ORG': [['Solaria Reform'], ['Unity Party'], ['UP'], ['Solar'], ['Progress Alliance'], ['PA'], ['Liberty Front'], ['LF', 'G'], ['Green'], ['Lily'], ['Wang'], ['Elena']], 'PER': [['Elena Marshall'], ['Amir Khan'], ['Simon Grayson']]}"
pol_en.json,5,5,"{'MISC': [['Winds of Change']], 'LOC': [['Elaria'], ['##aria']], 'ORG': [['Elaria', 'El'], ['Progress Party'], ['Unity Front'], ['Green Future Alliance'], ['Sofia']], 'PER': [['Adrian Novak'], ['Adrian'], ['Sofia Castell'], ['Sofia'], ['Elena Torres', 'Elena']]}"
pol_en.json,5,6,"{'MISC': [['Battle for'], ['##ant'], ['Call to Arms']], 'LOC': [['Verd'], ['Valley', '##ant Valley', 'Verdant Valley'], ['##erd']], 'ORG': [['Progressive Green Party'], ['V'], ['##ant Conservative Union'], ['United Labor Front'], ['New Wave Alliance']], 'PER': [['Mia Harper', 'Harper'], ['Mia'], ['Thomas B', 'Thomas'], ['##kley'], ['Evelyn T', 'Evelyn'], ['Carlos Mendoza', 'Carlos'], ['Ra']]}"
pol_en.json,5,7,"{'MISC': [['Tides of Destiny'], ['##hian'], ['Ara']], 'LOC': [['Arant'], ['##hia'], ['Aranthia']], 'ORG': [['National Assembly'], ['Arant'], ['Progressive Alliance for Unity'], ['PAU'], ['Conservative Heritage Front'], ['CHF'], ['##nt'], [""People ' s Renaissance Movement""], ['PRM']], 'PER': [['Elena Marsh', 'Elena'], ['Hugo Stalworth'], ['Hugo'], ['Z'], ['##ara Donovan'], ['Marsh']]}"
pol_en.json,5,8,"{'MISC': [['##pers of'], ['Storm'], ['Traditional']], 'LOC': [['Willow Creek'], ['Midlands']], 'ORG': [['Traditionalists'], ['New Horizons Party'], ['Green Springs Initiative'], ['Future'], ['Movement']], 'PER': [['Eleanor Pembroke', 'Eleanor'], ['Aaron Talbot'], ['Aaron'], ['Cassandra Voss', 'Cassandra'], ['Reginald'], ['Reggie'], ['Nathaniel'], ['Boone']]}"
pol_en.json,5,9,"{'MISC': [['Winds of Change'], ['Gathering Storm']], 'LOC': [['Eldoria', 'El'], ['##ia']], 'ORG': [['Eldrian'], ['Senate'], ['Pro'], ['##sperity Party', 'Prosperity Party'], ['Unity Front'], ['Green Horizon'], ['##dor']], 'PER': [['Victor Gant'], ['Victor'], ['Sophia Martell', 'Sophia'], ['Lin'], ['##a Verde']]}"
pol_en.json,5,10,"{'MISC': [['Tapestry of Voices']], 'LOC': [['Almaris'], ['Sa', 'A'], ['##pphire Mountains'], ['##zure Sea']], 'ORG': [['Radiant Coalition'], ['Verdant League'], ['Alma'], ['Sofia'], ['Roots']], 'PER': [['Thomas Arkwright'], ['Thomas'], ['Sofia Marlowe']]}"
nature_en.json,6,1,"{'MISC': [['Storm']], 'LOC': [['Elmsworth', 'Elm']], 'PER': [['Owen Reed', 'Owen']]}"
nature_en.json,6,2,"{'LOC': [['Elderton']], 'PER': [['Elijah Thompson', 'Elijah']]}"
nature_en.json,6,3,"{'LOC': [['Eldermere']], 'PER': [['Al'], ['##den Wright'], ['Elder']], 'MISC': [['Z']]}"
nature_en.json,6,4,"{'LOC': [['Eldergrove'], ['##grove']], 'PER': [['Clara'], ['Celeste'], ['Elder']], 'ORG': [['Elder', 'Eldergrove']]}"
nature_en.json,6,5,"{'MISC': [['Wind']], 'LOC': [['Eldergrove'], ['Maple Street']], 'PER': [['Clara Hensley'], ['Clara'], ['Mayor Winslow'], ['Tom']]}"
nature_en.json,6,6,"{'LOC': [['Riverton'], ['Main Street']], 'PER': [['Evelyn Starling'], ['Mike'], ['Evelyn']]}"
nature_en.json,6,7,"{'LOC': [['Seaward Bay'], ['Penny Lane']], 'PER': [['El'], ['##ara Dunn', '##ara'], ['Lay']], 'ORG': [['El']]}"
nature_en.json,6,8,"{'MISC': [['Storm'], ['of Des']], 'PER': [['Emily Santiago'], ['Emily'], ['Oliver'], ['O']], 'LOC': [['Ma'], ['##vericks Landing'], ['Eye'], ['##truction']]}"
nature_en.json,6,9,"{'MISC': [['Re'], ['##oar of the Storm'], ['Shadows']], 'LOC': [['Colorado'], ['Evergreen']], 'PER': [['Emma Caldwell', 'Emma']], 'ORG': [['Cross']]}"
nature_en.json,6,10,"{'LOC': [['Elmsford'], ['Blue Ridge Mountains']], 'PER': [['Jonathan Weaver'], ['Jonathan']]}"
